,name,position,total_distance,total_time
0,청록 미나리식당 미사강변점,경기 하남시 미사강변한강로 135 다동 2층 231호,490,358
1,옥된장 미사스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 0160호(스카이폴리스),490,358
2,봄봄 하남미사점,경기 하남시 미사강변한강로 135 나동 1층 164호,490,358
3,브런치&카페 알로(Brunch&Cafe allo),경기 하남시 미사강변한강로 165 AC01-25호 카페알로,381,274
4,박승광 해물 손칼국수 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 143호,490,358
5,유우조우,경기 하남시 미사강변한강로158번길 48 1층 유우조우,609,509
6,족발예찬 하남미사점,경기 하남시 미사강변한강로158번길 41 1층,569,451
7,미스터 촌돼지,경기 하남시 미사강변한강로158번안길 38 101호,479,417
8,동해 강릉 초당짬뽕순두부 하남미사점,경기 하남시 미사대로 380 2층,675,510
9,뉴욕버거 하남(SKV1)점,경기 하남시 미사강변한강로 155 111호,212,156
10,우나기 현,경기 하남시 미사강변한강로 155 SKV1센터 근생 102호 우나기현,212,156
11,망월전,경기 하남시 미사강변한강로136번길 9 1층,547,465
12,온담순대국 미사스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 0155호,490,358
13,참토스트 하남미사점,경기 하남시 미사강변한강로 135 1층 가 133호,490,358
14,고집센 만두전골 두루치기,"경기 하남시 미사강변한강로 135 다동 2층 202, 203호 공원쪽",490,358
15,스파게티스토리 스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 133호,490,358
16,별난아재맥주 하남미사점,경기 하남시 미사강변한강로158번길 52 1층 101호,623,519
17,화포식당 미사강변점,"경기 하남시 미사강변한강로 165 A동 216호,217호",381,274
18,치킨갱스터 미사점,경기 하남시 미사강변한강로 135 다동 2층 222호,490,358
19,솔라멘,경기 하남시 미사강변한강로 136 큰가람루 1층,616,476
20,카페키노(KAFE KINO),경기 하남시 미사강변한강로 135 스카이폴리스 나동 163호,490,358
21,스와(soir),경기 하남시 미사강변한강로136번길 25 수란가옥 1층,534,485
22,후라토식당 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 2층 213호,490,358
23,자연미당 추어탕,"경기 하남시 미사강변한강로 155 강변에스케이브이1센터 제1층 제근생141호, 142호, 143호",212,156
24,버거 스테이지 하남미사점,경기 하남시 미사강변한강로 135 가 119호,490,358
25,미사전,경기 하남시 미사강변한강로136번길 9 1층,547,465
26,(주)바운스 슈퍼파크 하남센터,경기 하남시 미사강변한강로 135 스카이폴리스 나동 지하1층 B151 바운스,490,358
27,째깍섬 키즈클래스 하남,"경기 하남시 미사강변한강로 135 미사스카이폴리스 나동 2층 251, 252호",490,358
28,김가네 미사스카이폴리스점,경기 하남시 미사강변한강로 135 스카이폴리스 124호,490,358
29,모모타코야끼 하남점,경기 하남시 미사강변한강로 135 스카이폴리스 지하1층 B170호,490,358
30,아리수 정육식당,경기 하남시 미사대로 380 하나로마트 하남농협 2층,675,510
31,마라의 민족 미사점,경기 하남시 미사강변한강로158번안길 37 102호,487,422
32,만차이,경기 하남시 미사강변한강로158번길 5 101 호,359,301
33,사미반점 미사2호점,경기 하남시 미사강변한강로 155 SK V1 센터 1층 사미반점 미사2호점,212,156
34,재킨보아즈,경기 하남시 미사강변한강로158번길 9 지하 1층 재킨보아즈,401,332
