,name,position,total_distance,total_time,category3
0,청록 미나리식당 미사강변점,경기 하남시 미사강변한강로 135 다동 2층 231호,490,358,한식당
1,봄봄 하남미사점,경기 하남시 미사강변한강로 135 나동 1층 164호,490,358,한식당
2,브런치&카페 알로(Brunch&Cafe allo),경기 하남시 미사강변한강로 165 AC01-25호 카페알로,381,274,카페
3,박승광 해물 손칼국수 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 143호,490,358,분식
4,유우조우,경기 하남시 미사강변한강로158번길 48 1층 유우조우,609,509,일식당
5,족발예찬 하남미사점,경기 하남시 미사강변한강로158번길 41 1층,569,451,고기
6,미스터 촌돼지,경기 하남시 미사강변한강로158번안길 38 101호,479,417,한식당
7,뉴욕버거 하남(SKV1)점,경기 하남시 미사강변한강로 155 111호,212,156,햄버거
8,우나기 현,경기 하남시 미사강변한강로 155 SKV1센터 근생 102호 우나기현,212,156,해물
9,망월전,경기 하남시 미사강변한강로136번길 9 1층,547,465,식당
10,참토스트 하남미사점,경기 하남시 미사강변한강로 135 1층 가 133호,490,358,간식
11,고집센 만두전골 두루치기,"경기 하남시 미사강변한강로 135 다동 2층 202, 203호 공원쪽",490,358,한식당
12,별난아재맥주 하남미사점,경기 하남시 미사강변한강로158번길 52 1층 101호,623,519,호프
13,화포식당 미사강변점,"경기 하남시 미사강변한강로 165 A동 216호,217호",381,274,고기
14,치킨갱스터 미사점,경기 하남시 미사강변한강로 135 다동 2층 222호,490,358,치킨
15,카페키노(KAFE KINO),경기 하남시 미사강변한강로 135 스카이폴리스 나동 163호,490,358,카페
16,스와(soir),경기 하남시 미사강변한강로136번길 25 수란가옥 1층,534,485,호프
17,후라토식당 하남미사점,경기 하남시 미사강변한강로 135 스카이폴리스 다동 2층 213호,490,358,일식당
18,자연미당 추어탕,"경기 하남시 미사강변한강로 155 강변에스케이브이1센터 제1층 제근생141호, 142호, 143호",212,156,한식당
19,버거 스테이지 하남미사점,경기 하남시 미사강변한강로 135 가 119호,490,358,햄버거
20,(주)바운스 슈퍼파크 하남센터,경기 하남시 미사강변한강로 135 스카이폴리스 나동 지하1층 B151 바운스,490,358,식당 아님
21,째깍섬 키즈클래스 하남,"경기 하남시 미사강변한강로 135 미사스카이폴리스 나동 2층 251, 252호",490,358,카페
22,김가네 미사스카이폴리스점,경기 하남시 미사강변한강로 135 스카이폴리스 124호,490,358,분식
23,모모타코야끼 하남점,경기 하남시 미사강변한강로 135 스카이폴리스 지하1층 B170호,490,358,일식당
24,아리수 정육식당,경기 하남시 미사대로 380 하나로마트 하남농협 2층,675,510,고기
25,마라의 민족 미사점,경기 하남시 미사강변한강로158번안길 37 102호,487,422,중국집
26,만차이,경기 하남시 미사강변한강로158번길 5 101 호,359,301,중국집
27,사미반점 미사2호점,경기 하남시 미사강변한강로 155 SK V1 센터 1층 사미반점 미사2호점,212,156,중국집
28,재킨보아즈,경기 하남시 미사강변한강로158번길 9 지하 1층 재킨보아즈,401,332,카페
